id,firebase_key,power,mode,eco,powerful,temp_room,temp_set,humidity,timestamp,created_at
2230351,287,1,COOL,0,1,15.0,24.0,23.0,28914705,2026-04-07 02:59:53
2230352,288,1,COOL,0,1,15.0,24.0,23.0,29816086,2026-04-07 02:59:53
2230353,289,1,COOL,0,0,15.0,24.0,23.0,30303466,2026-04-07 02:59:53
2230354,290,1,COOL,1,0,15.0,24.0,23.0,30307028,2026-04-07 02:59:53
2230355,291,1,COOL,0,1,15.0,24.0,23.0,30311367,2026-04-07 02:59:53
2230356,292,1,COOL,0,1,15.0,24.0,28.0,31211783,2026-04-07 02:59:53
2230357,293,1,COOL,0,0,13.0,24.0,24.0,31381672,2026-04-07 02:59:53
2230358,294,1,COOL,1,0,13.0,24.0,24.0,31384966,2026-04-07 02:59:53
2230359,295,1,COOL,0,1,13.0,24.0,24.0,31390155,2026-04-07 02:59:53
2230360,296,1,COOL,0,1,14.0,24.0,24.0,32290601,2026-04-07 02:59:53
2230361,297,1,COOL,0,1,13.0,24.0,24.0,33191883,2026-04-07 02:59:53
2230362,298,1,COOL,0,1,13.0,24.0,24.0,34093291,2026-04-07 02:59:53
2230363,299,1,COOL,0,1,13.0,24.0,24.0,34994678,2026-04-07 02:59:53
2230364,300,1,COOL,0,1,13.0,24.0,24.0,35895935,2026-04-07 02:59:53
2230365,301,1,COOL,0,1,13.0,24.0,24.0,36798440,2026-04-07 02:59:53
2230366,302,1,COOL,0,1,13.0,24.0,24.0,37699806,2026-04-07 02:59:53
2230367,303,1,COOL,0,1,13.0,24.0,24.0,38602248,2026-04-07 02:59:53
2230368,304,1,COOL,0,1,13.0,24.0,24.0,39503599,2026-04-07 02:59:53
2230369,305,0,COOL,0,1,13.0,24.0,24.0,40013234,2026-04-07 02:59:53
2230370,306,0,COOL,0,1,15.0,24.0,23.0,912216,2026-04-07 02:59:53
2230371,307,0,COOL,0,1,16.0,24.0,23.0,1822131,2026-04-07 02:59:53
2230372,308,0,COOL,0,1,16.0,24.0,26.0,2722535,2026-04-07 02:59:53
2230373,309,0,COOL,0,1,16.0,24.0,23.0,3631925,2026-04-07 02:59:53
2230374,310,0,COOL,0,1,16.0,24.0,23.0,4532329,2026-04-07 02:59:53
2230375,311,0,COOL,0,1,17.0,24.0,22.0,5442277,2026-04-07 02:59:53
2230376,312,0,COOL,0,1,17.0,24.0,22.0,6342702,2026-04-07 02:59:53
2230377,313,0,COOL,0,1,17.0,24.0,22.0,7252070,2026-04-07 02:59:53
2230378,314,0,COOL,0,1,17.0,24.0,22.0,8152473,2026-04-07 02:59:53
2230379,315,0,COOL,0,1,17.0,24.0,22.0,9062496,2026-04-07 02:59:53
2230380,316,0,COOL,0,1,17.0,24.0,22.0,9962903,2026-04-07 02:59:53
2230381,317,0,COOL,0,1,18.0,24.0,22.0,10872179,2026-04-07 02:59:53
2230382,318,0,COOL,0,1,18.0,24.0,24.0,11772575,2026-04-07 02:59:53
2230383,319,0,COOL,0,1,18.0,24.0,22.0,12681961,2026-04-07 02:59:53
2230384,320,0,COOL,0,1,18.0,24.0,22.0,13582358,2026-04-07 02:59:53
2230385,321,0,COOL,0,1,18.0,24.0,22.0,14492230,2026-04-07 02:59:53
2230386,322,0,COOL,0,1,18.0,24.0,25.0,15392644,2026-04-07 02:59:53
2230387,323,0,COOL,0,1,18.0,24.0,22.0,16303576,2026-04-07 02:59:53
2230388,324,0,COOL,0,1,19.0,24.0,21.0,17203993,2026-04-07 02:59:53
2230389,325,0,COOL,0,1,18.0,24.0,22.0,18113407,2026-04-07 02:59:53
2230390,326,0,COOL,0,1,18.0,24.0,22.0,19013810,2026-04-07 02:59:53
2230391,327,0,COOL,0,1,19.0,24.0,21.0,19923750,2026-04-07 02:59:53
2230392,328,0,COOL,0,1,19.0,24.0,21.0,20824156,2026-04-07 02:59:53
2230393,329,0,COOL,0,1,19.0,24.0,21.0,21734068,2026-04-07 02:59:53
2230394,330,0,COOL,0,1,19.0,24.0,21.0,22634478,2026-04-07 02:59:53
2230395,331,1,COOL,0,1,19.0,24.0,21.0,23438496,2026-04-07 02:59:53
2230396,332,1,HEAT,0,1,19.0,24.0,21.0,23444900,2026-04-07 02:59:53
2230397,333,1,HEAT,0,1,19.0,24.0,21.0,24345351,2026-04-07 02:59:53
2230398,334,1,HEAT,0,1,23.0,24.0,20.0,25246759,2026-04-07 02:59:53
2230399,335,1,HEAT,0,0,23.0,24.0,19.0,25675738,2026-04-07 02:59:53
2230400,336,1,HEAT,1,0,26.0,24.0,18.0,25679278,2026-04-07 02:59:53
2230401,337,1,HEAT,1,0,26.0,24.0,18.0,26579677,2026-04-07 02:59:53
2231078,338,1,HEAT,1,0,25.0,24.0,18.0,27481018,2026-04-07 13:47:45
2231079,339,1,HEAT,1,0,24.0,24.0,19.0,28382255,2026-04-07 13:47:45
2231080,340,1,HEAT,1,0,24.0,24.0,19.0,29283534,2026-04-07 13:47:45
2231081,341,1,HEAT,1,0,24.0,24.0,19.0,30184827,2026-04-07 13:47:45
2231082,342,1,HEAT,1,0,24.0,24.0,19.0,31086249,2026-04-07 13:47:45
2231083,343,1,HEAT,1,0,24.0,24.0,19.0,31987608,2026-04-07 13:47:45
2231084,344,1,HEAT,1,0,24.0,24.0,19.0,32889001,2026-04-07 13:47:45
2231085,345,1,HEAT,1,0,24.0,24.0,19.0,33790250,2026-04-07 13:47:45
2231086,346,1,HEAT,1,0,25.0,24.0,18.0,34691516,2026-04-07 13:47:45
2231087,347,1,HEAT,1,0,25.0,24.0,18.0,35592788,2026-04-07 13:47:45
2231088,348,1,HEAT,1,0,24.0,24.0,19.0,36494088,2026-04-07 13:47:45
2231089,349,1,HEAT,1,0,24.0,24.0,19.0,37395361,2026-04-07 13:47:45
2231090,350,1,HEAT,1,0,24.0,24.0,19.0,38296777,2026-04-07 13:47:45
2231091,351,1,HEAT,1,0,23.0,24.0,19.0,39198019,2026-04-07 13:47:45
2231092,352,1,HEAT,1,0,23.0,24.0,19.0,40099394,2026-04-07 13:47:45
